epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1774.84,1.08051,0.54665,1.1124,0.97565,1,0.9937,0.63431,1.33631,0.5114,1.22929,0.0005941,0.0005941,0.0005941
43,1817.37,1.0773,0.57352,1.09356,0.97818,0.99649,0.99413,0.61498,1.36516,0.51688,1.2511,0.0005842,0.0005842,0.0005842
44,1858.88,1.0805,0.58973,1.13375,0.95571,1,0.98966,0.61105,1.38409,0.53594,1.27352,0.0005743,0.0005743,0.0005743
45,1898.5,1.08017,0.54174,1.06964,0.95303,0.97778,0.98364,0.59658,1.36666,0.54162,1.25548,0.0005644,0.0005644,0.0005644
46,1938.59,1.08777,0.5529,1.10387,0.97238,0.95556,0.98806,0.61995,1.34107,0.53025,1.23906,0.0005545,0.0005545,0.0005545
47,1979.86,1.12101,0.57115,1.13383,0.99765,0.95556,0.99111,0.65836,1.293,0.5102,1.20877,0.0005446,0.0005446,0.0005446
48,2020.53,1.09796,0.58193,1.13092,0.97783,0.98,0.99457,0.67135,1.19405,0.48965,1.18256,0.0005347,0.0005347,0.0005347
49,2060.67,1.06715,0.55873,1.09665,0.98183,0.97778,0.99457,0.65058,1.1702,0.49624,1.17593,0.0005248,0.0005248,0.0005248
50,2100.44,1.05151,0.56465,1.10466,1,0.96203,0.99337,0.6502,1.1774,0.5068,1.18187,0.0005149,0.0005149,0.0005149
51,2143.31,1.12518,0.5728,1.13821,0.99283,0.95556,0.99292,0.61808,1.23075,0.49184,1.20924,0.000505,0.000505,0.000505
52,2184.5,1.10424,0.60059,1.12726,1,0.9548,0.99079,0.58823,1.35445,0.51273,1.25306,0.0004951,0.0004951,0.0004951
53,2228,1.07409,0.53213,1.09116,1,0.9504,0.97624,0.59444,1.36841,0.51841,1.2608,0.0004852,0.0004852,0.0004852
54,2270.33,1.16366,0.69439,1.19069,1,0.97021,0.9778,0.66572,1.19688,0.49458,1.22431,0.0004753,0.0004753,0.0004753
55,2312.93,1.09917,0.57336,1.10938,0.98305,0.97778,0.97836,0.64709,1.25143,0.50951,1.24709,0.0004654,0.0004654,0.0004654
56,2352.96,1.06916,0.5379,1.09399,0.98211,0.97778,0.97886,0.60403,1.43012,0.56026,1.30068,0.0004555,0.0004555,0.0004555
57,2394.35,0.97133,0.55523,1.08516,0.9866,0.97778,0.978,0.60321,1.43349,0.54393,1.30083,0.0004456,0.0004456,0.0004456
